Slug,Title,Icon,Description,Category,Modes,Law Section,Fine,Offense,Practical,Hints,Color,Theme
level-11,Lesson 11 - Library Zone,📚,You are passing a public library. Students are studying near open windows. An NPC is blocking the road ahead. Resist the urge to honk — wait patiently.,Silence Zones,car,MV Act Section 118 & Noise Pollution Rules,₹1000 - ₹5000,Honking Near Educational Institution,Wait patiently for the NPC to move. Do not honk near the library.,Libraries are quiet zones — honking disrupts students and readers. | The NPC blocking the road will eventually move — do not pressure them. | Use your horn only in genuine emergencies; not for convenience.,#2ecc71,no_honking
level-12,Lesson 12 - Highway Ambulance,🚑,You are on a multi-lane highway. An ambulance approaches at high speed from behind. Move to the leftmost lane and maintain speed — do not stop suddenly.,Emergency Priority,car,MV Act Section 194E & Highway Rules,₹10000,Blocking Emergency Vehicle on Highway,Indicate left; merge to the left lane; maintain your speed; and let the ambulance pass.,On highways; do not stop suddenly — move to the left lane and maintain speed. | Use your indicator before changing lanes. | Stay in the left lane until the ambulance has fully passed.,#e67e22,ambulance_priority
level-13,Lesson 13 - Night Rain Puddles,🌙,It is raining at night. Puddles are hard to see in the dark. A pedestrian with a broken umbrella is walking on the road edge. You may not see the puddle until it is too late.,Pedestrian Courtesy,pedestrian + car,MV Act Section 128 & Civic Sense,₹1000 - ₹3000,Dangerous Driving in Rain,Drive slowly; scan for water reflections; and give pedestrians a wide berth in the dark.,At night; puddles are nearly invisible — assume they are everywhere near footpaths. | Use your headlights to scan for water reflections. | If you see a pedestrian on the road; slow down regardless of puddles.,#9b59b6,puddle_etiquette
level-14,Lesson 14 - Night Crossing,🌙,It is late at night. Visibility is poor. An elderly person with a walking stick is slowly crossing at an unmarked crossing point. NPCs are speeding past — do not follow them.,Pedestrian Courtesy,pedestrian + car,MV Act Section 128,₹1000 - ₹3000,Failing to Yield at Night,Slow down; use headlights responsibly; and wait for the elderly person to cross completely.,Use your headlights properly — dip them for oncoming traffic. | At unmarked crossings; pedestrians still have the right of way. | Reduce speed at night — reaction times are halved in low visibility.,#e74c3c,pedestrian_courtesy
level-15,Lesson 15 - Residential Parking,🏘️,You are in a residential colony. A resident is blocking your path; pointing at your bumper — you are parked in front of their gate. Move your car to a visitor parking spot.,Parking Rules,pedestrian + car,MV Act Section 122 & Society Rules,₹500 - ₹1000,Blocking Residential Gate,Move your car immediately. Park in the visitor parking zone. Walk to the objective.,Never park in front of someone's gate — it blocks their entry/exit. | Residential colonies often have designated visitor parking spots. | Apologize and move immediately if a resident complains.,#3498db,respectful_parking
level-16,Lesson 16 - Residential Night,🌙,It is late at night in a residential colony. Your GPS is leading you through narrow lanes. A sleeping dog is lying in the middle of the road. Do not honk to wake it — slowly go around.,Silence Zones,car,Noise Pollution Rules & MV Act Section 118,₹1000 - ₹5000,Night Honking in Residential Area,Drive slowly around the sleeping dog. Do not honk. Reach the main road quietly.,Night honking in residential areas violates noise regulations. | A sleeping dog may wake startled and run under your wheels. | Use your horn only if there is an immediate safety threat.,#2ecc71,no_honking
level-17,Lesson 17 - Traffic Jam Ambulance,🚑,Complete gridlock. An ambulance is trapped in the jam behind you. NPC drivers are not moving. You must create a path by inching forward and pulling as far left as possible.,Emergency Priority,car,MV Act Section 194E,₹10000,Blocking Emergency Vehicle in Gridlock,Turn on hazard lights. Inch forward. Pull left. Keep creating space until the ambulance passes.,Even in a jam; inch forward to create space ahead. | Pull as far left as possible — even onto the curb if safe. | Hazard lights on to warn traffic behind you.,#e67e22,ambulance_priority
level-18,Lesson 18 - School Zone Puddles,🎒,School children in uniforms are walking through puddles on their way home. They are in groups; chatting; and not paying attention to traffic. Slow down to a crawl.,Pedestrian Courtesy,pedestrian + car,MV Act Section 196 & Civic Sense,₹1000 - ₹5000,Splashing Children in School Zone,Crawl through the school zone. Wait for children to clear your path. Do not splash them.,School children are easily distracted — they may change direction suddenly. | A splash on a school child is worse than on an adult — they are more vulnerable. | School zones have speed limits even in rain — 20 km/h maximum.,#9b59b6,puddle_etiquette
level-19,Lesson 19 - Festival Crowd,🎉,A festival procession has spilled onto the road. There are no traffic signals working — a police volunteer is directing traffic manually. Follow their signals exactly.,Special Events,pedestrian + car,MV Act Section 119(3),₹2000 - ₹5000,Ignoring Traffic Authority,Follow the traffic volunteer's signals. Crawl through the crowd. Do not honk.,Follow the traffic volunteer's hand signals — they override broken signals. | Festival crowds are unpredictable — maintain a crawling speed. | Do not honk — it will only agitate the crowd and create panic.,#e74c3c,festival
level-20,Lesson 20 - Temple & Prayer Zone,🧘,You are driving past a temple during evening aarti. Devotees are gathered outside. A cow is sitting in the road. This is the ultimate test of your patience — no honking; no rushing.,Silence Zones,car,MV Act Section 118 & Religious Place Rules,₹2000 - ₹5000,Honking Near Place of Worship,Wait for the cow to move. Drive past the temple slowly and silently. Do not honk under any circumstances.,Temples are declared quiet zones during prayer hours. | Cows have the right of way in India — literally and legally. | Honking near a place of worship is deeply disrespectful.,#2ecc71,no_honking
level-21,Lesson 21 - Signal Discipline,🚦,You approach a busy intersection with multiple signals. A delivery truck jumps the red light ahead of you. Stay disciplined — follow the rules even when others don't.,Signals & Signs,car,MV Act Section 119,₹500 - ₹2000,Jumping Red Signal,Wait for the signal to turn green. Check all directions before proceeding. Do not follow the truck.,Never follow a vehicle that jumps a red light. | Always check all directions before proceeding on green. | Yellow means slow down and prepare to stop; not speed up.,#e74c3c,signal_jump
level-22,Lesson 22 - Road Rage Control,😡,A taxi driver cut you off aggressively. You feel angry. But road rage never helps — stay calm; give space; and drive safely.,Driving Challenges,car,MV Act Section 117,₹1000 - ₹5000,Aggressive Driving,Stay calm. Give the taxi extra space. Do not honk back or tailgate. Drive safely to destination.,Road rage leads to accidents and legal trouble. | Give aggressive drivers extra space to avoid confrontation. | Horn abuse and tailgating escalate situations.,#e74c3c,road_rage
level-23,Lesson 23 - Heavy Rain Driving,🌧️,Heavy rain is falling. Visibility is poor; roads are flooded; and pedestrians are running for cover. Slow down and use your headlights.,Weather Driving,car,MV Act Section 184,₹1000 - ₹5000,Dangerous Driving in Rain,Turn on low beam headlights. Slow down to half speed. Avoid all puddles. Use hazard lights if visibility is very low.,Use low beam headlights in rain — high beam reflects off water. | Increase following distance by 2x in wet conditions. | Puddles can hide deep potholes — never drive through fast.,#3498db,rain_driving
level-24,Lesson 24 - Pedestrian Priority,🚶,An elderly person is trying to cross the road at a zebra crossing. Traffic is flowing but you must stop and let them cross safely.,Pedestrian Courtesy,car,MV Act Section 126,₹500 - ₹2000,Not Yielding to Pedestrian,Stop at the zebra crossing. Wait patiently for the elderly person to cross completely. Do not honk.,Pedestrians always have right of way at zebra crossings. | Elderly and disabled pedestrians need extra patience. | Stopping for pedestrians saves lives — never rush them.,#2ecc71,pedestrian_priority
level-25,Lesson 25 - Know Your Signs!,🔶,You encounter three types of road signs: blue mandatory signs; red cautionary signs; and green informational signs. Each requires a different response.,Signals & Signs,car,MV Act Section 116,₹500 - ₹2000,Ignoring Road Signs,Obey the blue mandatory sign. Slow down for the red cautionary sign. Read the green informational sign.,Blue signs tell you what you MUST do. | Red signs warn you of dangers ahead. | Green signs provide information about distances and locations.,#f39c12,signs
level-26,Lesson 26 - Cows on the Road!,🐄,A cow is sitting right in the middle of the road. Cars behind you are honking. But cows are sacred in India — never honk at them; just wait patiently.,Animals & Cyclists,car,MV Act Section 117 & Animal Protection,₹2000 - ₹5000,Disturbing Sacred Animal,Stop and wait patiently. Do not honk. Give the cow space. Pass only when it moves clear.,Cows have right of way in India — legally and culturally. | Never honk at a cow — it may panic and cause an accident. | Wait patiently; cows usually move on their own within a minute.,#f39c12,animals
level-27,Lesson 27 - Narrow Street!,🏘️,You enter a narrow residential street. An auto-rickshaw is coming from the opposite direction. There's barely room for both — crawl at walking pace and find a gap.,Driving Challenges,car,MV Act Section 117,₹500 - ₹2000,Driving Without Due Care,Crawl at walking pace. Signal the auto to let them know you're there. Find a wider spot and let the auto pass first.,Narrow streets require crawling speed — walking pace or slower. | Look for wider spots where you can yield. | Horn use is acceptable on blind narrow streets to warn oncoming traffic.,#9b59b6,narrow_street
level-28,Lesson 28 - Parking Rules!,🅿️,You need to park near a shopping area. A fire hydrant is visible; a no-parking zone is marked; and a legal parking spot is further away. Choose wisely.,Parking Rules,pedestrian + car,MV Act Section 122,₹500 - ₹2000,Illegal Parking,Drive past the hydrant and no-parking zone. Park in the designated parking zone. Walk to your destination.,Never park within 5 meters of a fire hydrant. | Blue "P" signs mark legal parking zones. | Illegal parking near hydrants can result in heavy fines.,#3498db,parking_rules
level-29,Lesson 29 - Auto-Rickshaw Dance!,🛺,You're driving behind an auto-rickshaw. It keeps stopping suddenly; swerving to pick up passengers; and making unpredictable moves. Stay alert and maintain safe distance.,Vehicle Etiquette,car,MV Act Section 117,₹500 - ₹2000,Failing to Maintain Safe Distance,Maintain 3 car lengths behind the auto. Stop when it stops. Do not overtake until the road is completely clear.,Auto-rickshaws stop frequently and unpredictably. | Maintain at least 3 car lengths distance behind autos. | Never overtake an auto near a bus stop or crossing.,#f39c12,auto_dance
level-30,Lesson 30 - Toll Plaza!,💳,You approach a highway toll plaza. Choose the correct lane (FASTag or cash); slow down; stop at the booth; and pay the toll.,Vehicle Etiquette,car,National Highway Authority Rules,₹500 - ₹5000,Toll Evasion,Slow down on approach. Choose the correct lane. Stop at the booth and pay. Proceed on the highway.,FASTag lanes are marked with blue signs — most vehicles use these. | Cash lanes are for vehicles without FASTag. | Always slow down when approaching a toll plaza.,#2ecc71,toll
level-31,Lesson 31 - Blind Corner!,👁️,You approach a blind corner where you cannot see oncoming traffic. Honk once to warn others; then crawl around the corner.,Driving Challenges,car,MV Act Section 117-118,₹1000 - ₹5000,Blind Corner Warning,Honk once before the corner. Crawl around the corner at walking speed. Yield to any oncoming vehicle.,Blind corners are one of the most dangerous road situations. | One short honk warns oncoming traffic of your presence. | Crawl around blind corners — never drive at full speed.,#e74c3c,blind_corner
level-32,Lesson 32 - Hill Driving!,⛰️,You're driving up a steep hill with hairpin bends. Use low gear uphill; honk at blind hairpin bends; and engine brake downhill.,Driving Challenges,car,MV Act Section 117,₹1000 - ₹5000,Dangerous Hill Driving,Use low gear uphill. Honk at every hairpin bend. Engine brake downhill. Reach the top safely.,Low gear uphill gives more power and control. | Engine braking downhill prevents brake overheating. | Always honk at hairpin bends — you cannot see around them.,#8e44ad,hill_driving
level-33,Lesson 33 - Bus Stop Yield!,🚌,A bus is stopped at a bus stop picking up passengers. You must wait behind the bus and never overtake near a bus stop — passengers may cross unexpectedly.,Vehicle Etiquette,car,MV Act Section 117,₹1000 - ₹5000,Dangerous Driving Near Bus Stop,Stop behind the bus. Wait for passengers to cross. Do not overtake until the bus moves away.,Passengers may cross the road immediately after getting off a bus. | Never overtake a bus at or near a bus stop. | Wait until the bus moves and the road is clear.,#3498db,bus_stop
level-34,Lesson 34 - Construction Zone!,🚧,A construction zone blocks part of the road. Follow the detour signs; obey the flagman; and slow down through the zone.,Driving Challenges,car,MV Act Section 117,₹5000,Construction Zone Violation,Slow down to 20 km/h. Follow the detour signs. Obey the flagman. Exit the construction zone carefully.,Construction zones have strict speed limits — usually 20 km/h. | Temporary signs and flagmen override normal traffic rules. | Fines in construction zones are often doubled.,#e67e22,construction
level-35,Lesson 35 - One-Way Wonder!,➡️,You approach a one-way street. Enter from the correct end; follow the flow of traffic; and exit at the intersection. Never go against traffic.,Signals & Signs,car,MV Act Section 119,₹500 - ₹2000,One-Way Rules Violation,Enter the one-way from the correct end. Follow the traffic flow. Exit at the designated intersection.,One-way streets have a single direction of travel. | Entering from the wrong end is extremely dangerous. | Look for one-way signs (blue rectangular signs with arrow).,#27ae60,one_way
level-36,Lesson 36 - Sign Recognition!,🔶,A complex intersection presents three sign types simultaneously. Identify mandatory (blue); cautionary (red); and informational (green) signs and respond to each correctly.,Signals & Signs,car,MV Act Section 116,₹500 - ₹2000,Ignoring Road Signs,Identify and obey the mandatory sign. Slow down for the cautionary sign. Use the informational sign for navigation.,Blue = Mandatory — you MUST follow the instruction. | Red = Cautionary — slow down and be alert. | Green = Informational — helps with navigation.,#f39c12,signs
level-37,Lesson 37 - Hospital Quiet Zone!,🏥,You're driving past a hospital. Absolutely no honking. Slow down; watch for ambulances entering/exiting; and leave the zone quietly.,Silence Zones,car,MV Act Section 118,₹2000 - ₹5000,Hospital Zone Silence,Drive through the hospital zone silently. No honking under any circumstances. Watch for ambulances and yield immediately.,Hospital zones have zero tolerance for honking. | Ambulances may enter or exit at any moment. | Fines in hospital zones are among the highest.,#3498db,hospital_quiet
level-38,Lesson 38 - Festival Traffic!,🎉,A festival procession blocks part of the road. Diversion signs are placed. Expect unexpected crowds; music vehicles; and pedestrians everywhere.,Special Events,car,MV Act Section 117,₹1000 - ₹5000,Festival Traffic Violation,Yield to the procession. Follow the diversion route. Drive extremely slowly through the crowd. Reach your destination.,Festival traffic creates unusual road patterns. | Follow diversion signs — they lead to alternate routes. | Yield to festival processions — they have priority.,#e74c3c,festival
level-39,Lesson 39 - Cyclist Safety!,🚲,A cyclist is riding on the left side of the road. You need to pass safely with at least 1 meter of space. Never overtake near an intersection.,Animals & Cyclists,car,MV Act Section 117,₹500 - ₹2000,Cyclist Safety Violation,Maintain 1 meter space when passing. Do not overtake near intersections. Wait for a clear; safe opportunity.,Give cyclists at least 1 meter of space when passing. | Never overtake a cyclist near an intersection or turning. | Cyclists may swerve to avoid potholes — expect the unexpected.,#2ecc71,cyclist
level-40,Lesson 40 - Grand Test!,🏆,The ultimate test! Apply everything you've learned from 39 levels. Navigate a complex route with signals; pedestrians; speed limits; lane discipline; and emergency vehicles.,Grand Tests,car,All MV Act Sections,₹500 - ₹5000,Multiple Violations,Complete the complex route following all traffic rules. Apply everything from the previous 39 levels. Stay calm and focused.,Apply all traffic rules you've learned so far. | Stay calm under pressure — multiple challenges at once. | This test covers all Tier 1-3 skills.,#f1c40f,grand_test
level-41,Lesson 41 - Night Monsoon Grid!,⛈️,Drive through heavy monsoon rain at night. Zero visibility; flooded roads; and complex intersections. Use headlights and extreme caution.,Weather Driving,car,MV Act Section 184,₹2000 - ₹10000,Dangerous Night Driving,Navigate the flooded night grid. Use headlights wisely. Crawl through puddles. Complete all intersections without stalling.,Night rain reduces visibility to near zero — use headlights. | Flooded roads may hide deep potholes — crawl through. | Intersection navigation requires memorizing road layout ahead of time.,#1a1a3e,night_monsoon
level-42,Lesson 42 - Wrong-Side Danger!,⚠️,Other vehicles are driving on the wrong side! Navigate carefully; predict their movements; and reach the destination without collision.,Signals & Signs,car,MV Act Section 119,₹500 - ₹5000,Wrong-Side Driving,Stay in your lane. Predict wrong-side vehicle movements. Use horn to alert. Reach destination without collision.,Wrong-side drivers are unpredictable — expect anything. | Stay in your lane and signal intentions clearly. | Use horn sparingly to alert wrong-side drivers.,#e74c3c,wrong_side
level-43,Lesson 43 - Highway Merge Chaos!,🛣️,Merge onto a busy highway with heavy truck and bus traffic. Match speed; find gaps; and merge smoothly without causing accidents.,Driving Challenges,car,MV Act Section 126,₹1000 - ₹5000,Improper Lane Merging,Match speed on the ramp. Check blind spot. Find a gap and merge. Do not linger beside trucks.,Match highway speed before merging — never merge slow. | Check mirrors AND blind spot before changing lanes. | Trucks have large blind spots — never linger beside them.,#3498db,highway_merge
level-44,Lesson 44 - Construction Maze!,🚧,Road construction blocks your lane. Follow diversion signs through narrow temporary paths while avoiding workers and equipment.,Driving Challenges,car,MV Act Section 117,₹1000 - ₹5000,Construction Zone Violation,Slow to 20 km/h. Follow diversion signs. Avoid workers and equipment. Complete the construction zone.,Construction zones have 20 km/h speed limits. | Workers may step onto the road unexpectedly. | Follow diversion signs — they lead to alternate routes.,#f39c12,construction
level-45,Lesson 45 - Zero Visibility!,👻,Dense fog at night with rain. You can barely see 10 meters ahead. Use fog lights; crawl at minimum speed; and trust your instincts.,Weather Driving,car,MV Act Section 184,₹2000 - ₹10000,Driving in Zero Visibility,Turn on fog lights. Crawl at minimum speed. Use horn to alert others. Navigate by sound and road markings.,Fog lights are mandatory — use them; not headlights. | Reduce speed to minimum — you cannot see what is ahead. | Listen for other vehicles — sound travels further than sight in fog.,#2c3e50,zero_visibility
level-46,Lesson 46 - Festival Night Parade!,🪔,Night-time festival procession with lights; music; and crowds spilling onto the road. Navigate through Diwali celebrations safely.,Special Events,pedestrian + car,MV Act Section 117,₹1000 - ₹5000,Festival Night Violation,Yield to the procession. Find an alternate route. Avoid distracted pedestrians. Complete safely.,Festival night = distracted pedestrians everywhere. | Procession has priority — find an alternate route if needed. | Decorative lights can be distracting — focus on the road.,#9b59b6,festival
level-47,Lesson 47 - Mountain Pass!,🏔️,Navigate a treacherous mountain road with hairpin turns; steep gradients; and falling rocks. Brake management and patience are key.,Driving Challenges,car,MV Act Section 184,₹2000 - ₹10000,Mountain Driving Violation,Use lower gears on descents. Horn at blind curves. Avoid road edge. Complete the mountain pass.,Use lower gears on steep descents — brakes can overheat. | Honk at blind curves to warn oncoming traffic. | Stay away from the edge — landslides can happen without warning.,#27ae60,mountain
level-48,Lesson 48 - Rural Kacha Road!,🌾,A narrow unpaved village road with potholes; stray animals; and oncoming tractors. Patience and spatial awareness are everything.,Driving Challenges,car,MV Act Section 184,₹500 - ₹2000,Rural Road Violation,Crawl on the unpaved road. Honk to move animals. Give tractors space. Reach the village safely.,Kacha roads have hidden potholes — crawl at all times. | Cows and dogs may be sleeping on the road. | Tractors need wide turns — give them space.,#8B7355,rural
level-49,Lesson 49 - Multi-Modal Chaos!,🌪️,Every type of vehicle on the road at once — buses; trucks; autos; bikes; cycles; and pedestrians. The ultimate chaos management test.,Grand Tests,car,MV Act Section 119,₹500 - ₹5000,Multi-Modal Violation,Maintain safe distance from all vehicle types. Predict auto and bike movements. Navigate through the chaos.,Each vehicle type has different blind spots and turning patterns. | Buses stop suddenly — keep distance. | Autos and bikes weave unpredictably — expect sudden lane changes.,#e67e22,multi_modal
level-50,Lesson 50 - Grand Mastery!,🏆,THE ULTIMATE TEST. All weather conditions; all vehicle types; all road types; all traffic situations. Only a master driver can pass this.,Grand Tests,car,All MV Act Sections,₹500 - ₹10000,Multiple Violations,Complete the ultimate test. Apply every skill from all previous levels. Stay calm; stay safe; stay respectful.,This test combines every skill from 49 levels. | Stay calm — panic is the real enemy. | Patience and observation beat speed every time.,#f1c40f,grand_test
level-51,Lesson 51 - Lane Discipline,🛣️,A multi-lane highway with heavy truck and bus traffic. You must stay in your lane; overtake only from the right side (India drives left); and use indicators before changing lanes. Weaving between lanes is dangerous!,Signals & Signs,car,MV Act Section 119 / 184,₹500 - ₹2000,Lane Discipline Violation / Dangerous Driving,Stay in your lane on a multi-lane highway. Overtake slower vehicles from the right. Use indicators before changing lanes. Do not weave between lanes.,India drives on the LEFT — overtake from the RIGHT. | Stay in your lane unless overtaking. | Use indicators before every lane change. | Never weave between lanes — pick one and stick to it.,#2980b9,lane_discipline
level-52,Lesson 52 - Driving Instructor,🎓,A structured driving lesson: change lanes to overtake a slow bus; then signal and merge back. Practice controlled lane changes with proper indicators.,Driving Challenges,car,MV Act Section 136 - Overtaking Rules,₹5000,Improper Overtaking / Lane Change Without Signal,Signal right; merge left to overtake the bus; then signal left and merge back to the right lane.,Always indicate before changing lanes. | Check mirrors and blind spots before merging. | Overtake on the right side (India drives on the left). | Merge back smoothly after passing the vehicle.,#2980b9,driving_school

safe-walker,Safe Walker Badge,🚶,Crossed all roads safely as a pedestrian,Badge,,,,,,,,
law-abider,Law Abider Badge,🏛️,Passed all checkpoint inspections cleanly,Badge,,,,,,,,
speed-king,Speed King Badge,🏎️,Completed Sea Link with zero speed violations,Badge,,,,,,,,
traffic-hero,Traffic Hero Badge,🌟,Completed all 52 levels of the Academy,Badge,,,,,,,,
smart-citizen,Mumbai Smart Citizen,🏙️,Earned the Traffic Hero badge - A true road hero,Badge,,,,,,,,
signal-master,Signal Master,🚦,Completed 5+ levels without a single red-light violation,Badge,,,,,,,,
badge-10,Novice Driver,🎓,Completed first 10 levels,Badge,,,,,,,,
badge-20,Learner Driver,📋,Completed first 20 levels,Badge,,,,,,,,
badge-30,Competent Driver,🎖️,Completed first 30 levels,Badge,,,,,,,,
badge-40,Skilled Driver,🏅,Completed first 40 levels,Badge,,,,,,,,
badge-52,Master Driver,💎,Completed all 52 levels,Badge,,,,,,,,
pedestrian-expert,Pedestrian Expert,🚶‍♂️,Completed all pedestrian mode levels,Badge,,,,,,,,
night-driver,Night Driver,🌙,Completed all night driving levels,Badge,,,,,,,,
weather-pro,Weather Expert,⛈️,Completed all weather-related levels,Badge,,,,,,,,
emergency-hero,Emergency Hero,🚑,Completed all emergency vehicle levels,Badge,,,,,,,,
parking-master,Parking Master,🅿️,Completed all parking scenarios,Badge,,,,,,,,
